,Country,Total_MismanagedPlasticWaste_2010 (millionT),Total_MismanagedPlasticWaste_2019 (millionT),Mismanaged_PlasticWaste_PerCapita_2010 (kg per year) ,Mismanaged_PlasticWaste_PerCapita_2019 (kg per year) ,id
45,Dominica,783,1082,0.031,15.02777778,212
46,Dominican Republic,118226,194018,0.039,18.06667287,214
47,Ecuador,109383,108797,0.047,6.262058248,218
48,Egypt,967012,1435510,0.122,14.29961748,818
49,El Salvador,118732,21693,0.051,3.361171367,222
50,Equatorial Guinea,5977,9403,0.047,6.934365782,226
51,Eritrea,16259,84088,0.035,24.0457535,232
52,Estonia,5979,600,0.019,0.452488688,233
53,Faeroe Islands,93,0,0.005,0.0,234
54,Falkland Islands,5,0,0.005,0.0,238
55,Fiji,49257,3858,0.151,4.334831461,242
56,Finland,4985,2621,0.005,0.473788865,246
57,France,24109,27780,0.004,0.426531552,250
58,French Guiana,2360,126,0.039,0.432989691,254
59,French Polynesia,1286,0,0.013,0.0,258
60,Gabon,6087,5991,0.019,2.757017948,266
61,Gambia,19616,35095,0.041,14.9467632,270
62,Georgia,14472,307,0.035,0.076807606,268
63,Germany,31239,50676,0.01,0.606774669,276
64,Ghana,91571,520002,0.032,17.09520679,288
65,Gibraltar,65,0,0.005,0.0,292
66,Greece,14229,4506,0.004,0.430249212,300
67,Greenland,105,0,0.005,0.0,304
68,Grenada,2248,1357,0.064,12.11607143,308
69,Guadeloupe,6564,162,0.039,0.405,312
70,Guam,393,0,0.006,0.0,316
71,Guatemala,91563,311003,0.105,17.68972186,320
72,Guernsey,103,0,0.005,0.0,831
73,Guinea,18514,147997,0.025,11.58852087,324
74,Guinea-Bissau,20240,20465,0.046,10.65330557,624
75,Guyana,42002,27565,0.224,35.20434227,328
76,Haiti,147389,237968,0.044,21.12829619,332
77,Honduras,95638,145995,0.079,14.97999179,340
78,Hong Kong,28512,5781,0.01,0.777434104,344
